Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-10-17,BTCUSD,7993.54,8070,7937.01,8034.32,1570.08,12537245.82
2019-10-16,BTCUSD,8162.44,8171.59,7908.86,7993.54,8123.72,65132771.81
2019-10-15,BTCUSD,8355,8420,8085.65,8162.44,7919.56,65109952.98
2019-10-14,BTCUSD,8282.97,8409,8215.66,8355,4401.82,36575829.05
2019-10-13,BTCUSD,8309.03,8469.02,8146.47,8282.97,5459.53,45492326.33
2019-10-12,BTCUSD,8267.33,8425,8261.46,8309.03,3001.53,25023584.91
2019-10-11,BTCUSD,8587.5,8826,8226,8267.33,11975.39,101238415.25
2019-10-10,BTCUSD,8590,8660,8452.5,8587.5,7892.41,67531649.6
2019-10-09,BTCUSD,8180,8709,8121,8590,13865.37,117143751.99
2019-10-08,BTCUSD,8209,8342.97,8107.26,8180,5808.84,47674867.98
2019-10-07,BTCUSD,7859.79,8310.57,7762.35,8209,9969.38,80691163.82
2019-10-06,BTCUSD,8147.63,8176.18,7780.85,7859.79,7770.16,61753052.16
2019-10-05,BTCUSD,8156.67,8200,8020.2,8147.63,3809.86,30873507.65
2019-10-04,BTCUSD,8240.41,8241.35,8002.21,8156.67,7620.06,62078561.3
2019-10-03,BTCUSD,8381.72,8419.95,8059.22,8240.41,7550.73,62037926.73
2019-10-02,BTCUSD,8321.52,8391,8168.85,8381.72,7006.37,57883644.17
2019-10-01,BTCUSD,8304.96,8535,8200,8321.52,12133.1,101594010.63
2019-09-30,BTCUSD,8052.4,8393.23,7701,8304.96,14235.43,114990553.14
2019-09-29,BTCUSD,8217.47,8246.87,7902.96,8052.4,6911.51,55634607.52
2019-09-28,BTCUSD,8193.99,8343,8015.25,8217.47,8846.18,72162358.51
2019-09-27,BTCUSD,8060,8290,7861.02,8193.99,15793.45,127240779.09
2019-09-26,BTCUSD,8438.35,8464.08,7712.45,8060,25063.02,202894604.03
2019-09-25,BTCUSD,8530.01,8743.86,8222.01,8438.35,23161.99,195698351.99
2019-09-24,BTCUSD,9693.74,9777.16,8159.35,8530.01,31693.09,282987748.53
2019-09-23,BTCUSD,10026.8,10051.15,9609.37,9693.74,10409.03,102332904.43
2019-09-22,BTCUSD,9973.99,10097,9848.37,10026.8,5113.54,51003517.74
2019-09-21,BTCUSD,10168.85,10170.15,9917.34,9973.99,4829.81,48372943.24
2019-09-20,BTCUSD,10275.01,10309.84,10056.3,10168.85,6147.42,62522073.7
2019-09-19,BTCUSD,10155.26,10379.15,9585.86,10275.01,13548.83,134927397.8
2019-09-18,BTCUSD,10185.39,10258,10074.08,10155.26,5564.14,56681450.55
2019-09-17,BTCUSD,10262.54,10276.18,10135.44,10185.39,5710.49,58364825.36
2019-09-16,BTCUSD,10304.46,10379.98,10068.42,10262.54,7384.74,75476404.07
2019-09-15,BTCUSD,10360.25,10380,10263.39,10304.46,2735.17,28202179.16
2019-09-14,BTCUSD,10365.93,10439,10223.36,10360.25,4413.03,45673649.1
2019-09-13,BTCUSD,10423.72,10452.5,10157,10365.93,6799.62,70031660.47
2019-09-12,BTCUSD,10160.2,10460,10040,10423.72,7569.29,77805911.82
2019-09-11,BTCUSD,10093.01,10297.12,9851.97,10160.2,7694.14,77391519.96
2019-09-10,BTCUSD,10310,10389.26,9916,10093.01,7620.05,77363574.82
2019-09-09,BTCUSD,10398.97,10541.75,10059.99,10310,9351.39,96260009.31
2019-09-08,BTCUSD,10484.37,10595,10231.13,10398.97,4506.38,46958866.48
2019-09-07,BTCUSD,10308.92,10580,10304.52,10484.37,4352.96,45490740.26
2019-09-06,BTCUSD,10574.73,10939.34,10182.8,10308.92,14188.01,150243703.3
2019-09-05,BTCUSD,10581.84,10666.43,10452.15,10574.73,7307.17,77119779.28
2019-09-04,BTCUSD,10628.48,10833.14,10380,10581.84,11506.7,121635949.9
2019-09-03,BTCUSD,10381.26,10790,10280,10628.48,14521.81,153499426.59
2019-09-02,BTCUSD,9766.52,10485.48,9756.54,10381.26,11185.58,113202807.04
2019-09-01,BTCUSD,9600.86,9840,9539.58,9766.52,4028.8,38944156.72
2019-08-31,BTCUSD,9582.42,9707.48,9436.2,9600.86,3901.27,37406908.23
2019-08-30,BTCUSD,9495,9699,9337.97,9582.42,8670.66,82694923.28
2019-08-29,BTCUSD,9714.31,9717.03,9321.73,9495,13650.89,129722110.9
2019-08-28,BTCUSD,10171.85,10277,9522.93,9714.31,15611.52,154268964.17
2019-08-27,BTCUSD,10361.65,10379.87,10019.56,10171.85,7298.1,74200592.72
2019-08-26,BTCUSD,10138.72,10680,10138.72,10361.65,12057.5,125332883.46
2019-08-25,BTCUSD,10147.96,10374.85,9899.95,10138.72,6662.63,67215750.66
2019-08-24,BTCUSD,10410.85,10429,9886.26,10147.96,7386.15,74619260.38
2019-08-23,BTCUSD,10107.15,10478,10035.84,10410.85,8962.04,92546463.46
2019-08-22,BTCUSD,10130,10237.53,9759,10107.15,10555.14,105652049.01
2019-08-21,BTCUSD,10769.09,10800,9841.59,10130,16469.55,167478729.54
2019-08-20,BTCUSD,10920,10953,10555.7,10769.09,8586.19,92307368.69
2019-08-19,BTCUSD,10315.48,10938.76,10265,10920,11637.76,124054157.03
2019-08-18,BTCUSD,10217.79,10513.45,10066.66,10315.48,6722.97,69466899.58
2019-08-17,BTCUSD,10352.78,10475.82,9978,10217.79,6910.44,70811002.21
2019-08-16,BTCUSD,10300.01,10539.9,9739.99,10352.78,18938.12,192895590.9
2019-08-15,BTCUSD,10025.86,10445,9470,10300.01,26273.06,262525694.3
2019-08-14,BTCUSD,10854.92,10859.97,9888.88,10025.86,23138.76,239583955.97
2019-08-13,BTCUSD,11389.28,11438.39,10746,10854.92,12011.52,132286888.8
2019-08-12,BTCUSD,11540.76,11555.55,11222.4,11389.28,6056.99,68970665.29
2019-08-11,BTCUSD,11280.95,11585,11088.88,11540.76,7136.95,81187207.74
2019-08-10,BTCUSD,11856.1,11969.99,11170,11280.95,11858.29,135945488.68
2019-08-09,BTCUSD,11981,12040,11651.89,11856.1,11651.01,137817454.76
2019-08-08,BTCUSD,11975.03,12050,11451,11981,14293.07,168150034.46
2019-08-07,BTCUSD,11465.49,12147,11366.26,11975.03,20598.91,242719052.53
2019-08-06,BTCUSD,11819.49,12320.4,11187,11465.49,22435.3,263293176.05
2019-08-05,BTCUSD,10977.51,11950,10977.51,11819.49,22797.97,265552641.97
2019-08-04,BTCUSD,10820.76,11089.74,10572,10977.51,11307.7,122790872.27
2019-08-03,BTCUSD,10533.01,10922.08,10508.5,10820.76,9760.62,105140441.93
2019-08-02,BTCUSD,10405.94,10670,10321.42,10533.01,12702.37,133071450.51
2019-08-01,BTCUSD,10087.3,10497,9881,10405.94,14053.4,142808093.48
2019-07-31,BTCUSD,9589.01,10135.12,9570.01,10087.3,12455.48,123476349.95
2019-07-30,BTCUSD,9495.01,9839.83,9371.96,9589.01,8899.99,85175682.91
2019-07-29,BTCUSD,9533,9729.87,9356.75,9495.01,10251.81,97666125.59
2019-07-28,BTCUSD,9479.98,9669.11,9108.88,9533,8740.35,82510640.83
2019-07-27,BTCUSD,9843,10248.41,9298.19,9479.98,15997.56,154374846.12
2019-07-26,BTCUSD,9883.33,9898.03,9657.21,9843,10404.23,101720864.39
2019-07-25,BTCUSD,9772.6,10184.99,9734.58,9883.33,12420.64,124397441.04
2019-07-24,BTCUSD,9840.12,9919.08,9507.38,9772.6,17433.78,169006087.36
2019-07-23,BTCUSD,10323.39,10324.28,9800.23,9840.12,17517.98,175663149.04
2019-07-22,BTCUSD,10590.7,10688.14,10060,10323.39,14866.73,153890831.3
2019-07-21,BTCUSD,10761.03,10835,10320,10590.7,11363.1,120060585.75
2019-07-20,BTCUSD,10538.06,11112.31,10360.65,10761.03,16334.01,175315801.07
2019-07-19,BTCUSD,10649.07,10777.21,10111,10538.06,18921.67,197833777.04
2019-07-18,BTCUSD,9696.31,10799,9291,10649.07,30779.8,312100585.04
2019-07-17,BTCUSD,9422.72,9998,9071,9696.31,34221.67,327044568.7
2019-07-16,BTCUSD,10854.47,11040,9350,9422.72,39003.84,391332933.54
2019-07-15,BTCUSD,10185.03,11080.01,9857.27,10854.47,32702.15,339680844.07
2019-07-14,BTCUSD,11370.08,11467.27,10084.4,10185.03,23646.82,252705601.73
2019-07-13,BTCUSD,11802,11845,10814.4,11370.08,17186.06,194286516.0
2019-07-12,BTCUSD,11349,11950,11079.59,11802,18077.11,209057732.96
2019-07-11,BTCUSD,12097.96,12097.96,10933,11349,33577.18,386913445.85
2019-07-10,BTCUSD,12571.11,13202.63,11553.21,12097.96,37013.08,463096245.34
2019-07-09,BTCUSD,12293.53,12829.96,12122.33,12571.11,25072.06,313480512.25
2019-07-08,BTCUSD,11474.42,12395,11328.01,12293.53,18809.86,225134608.47
2019-07-07,BTCUSD,11237.77,11620,11084.31,11474.42,10663.42,121096932.55
2019-07-06,BTCUSD,11004.51,11723.6,10980.09,11237.77,15009.23,171204085.58
2019-07-05,BTCUSD,11136,11449.51,10761.8,11004.51,19943.95,221382404.02
2019-07-04,BTCUSD,11976.42,12064.26,11035.01,11136,21403.03,250208930.02
2019-07-03,BTCUSD,10829.18,12014.6,10829.18,11976.42,36836.85,419076229.34
2019-07-02,BTCUSD,10577.63,10925,9651,10829.18,41476.42,424791613.92
2019-07-01,BTCUSD,10761.26,11210.52,9953,10577.63,37633.9,396857365.17
2019-06-30,BTCUSD,11865.29,12200,10650.06,10761.26,26505.91,300275703.17
2019-06-29,BTCUSD,12360.45,12379.99,11318.94,11865.29,27300.42,323053833.66
2019-06-28,BTCUSD,11159.29,12444.77,10737.87,12360.45,41020.87,478598908.25
2019-06-27,BTCUSD,12927.44,13358.68,10300,11159.29,70145.65,810986479.74
2019-06-26,BTCUSD,11755.53,13868.44,11355.5,12927.44,70067.59,887887492.68
2019-06-25,BTCUSD,11032.32,11788.88,10997,11755.53,24269.79,275616891.91
2019-06-24,BTCUSD,10833.02,11091.97,10550.21,11032.32,15111.05,163828306.39
2019-06-23,BTCUSD,10666.86,11284.44,10490,10833.02,16785.16,181766886.66
2019-06-22,BTCUSD,10236.2,11215.89,10080,10666.86,36324.27,388841922.54
2019-06-21,BTCUSD,9531.21,10245,9531.21,10236.2,23563.85,231762275.5
2019-06-20,BTCUSD,9277.54,9599,9210.3,9531.21,11555.59,108849898.98
2019-06-19,BTCUSD,9078.48,9319.5,9035.75,9277.54,9173.83,84024077.51
2019-06-18,BTCUSD,9333.14,9359.48,8919.72,9078.48,15974.31,145785748.76
2019-06-17,BTCUSD,8975,9475,8975,9333.14,20193.67,187067381.07
2019-06-16,BTCUSD,8860.23,9388,8799.7,8975,21517.86,195495774.9
2019-06-15,BTCUSD,8697.46,8916.63,8594.99,8860.23,9570.17,83754588.25
2019-06-14,BTCUSD,8239.04,8738.92,8180.08,8697.46,12050.35,101649250.5
2019-06-13,BTCUSD,8176.02,8329.99,8048.75,8239.04,8580.58,70312788.92
2019-06-12,BTCUSD,7918.17,8292.43,7817,8176.02,12091.23,97661611.58
2019-06-11,BTCUSD,8015.69,8057.19,7702.83,7918.17,7678.33,60559900.94
2019-06-10,BTCUSD,7634.58,8097.35,7516.9,8015.69,9643.38,75882753.97
2019-06-09,BTCUSD,7930.14,7960,7508.77,7634.58,7444.03,57424828.7
2019-06-08,BTCUSD,7998.13,8059.99,7786.01,7930.14,5028.21,39813591.14
2019-06-07,BTCUSD,7805,8134.29,7756.79,7998.13,12180.97,97032689.73
2019-06-06,BTCUSD,7789.48,7874.68,7450,7805,12185.16,93809650.59
2019-06-05,BTCUSD,7670.96,7932.87,7570,7789.48,13129.0,101930422.5
2019-06-04,BTCUSD,8107.96,8107.96,7427,7670.96,28346.04,220919778.62
2019-06-03,BTCUSD,8736.55,8742.48,8030.46,8107.96,15411.03,129709204.64
2019-06-02,BTCUSD,8558.95,8834,8550,8736.55,5797.63,50359779.75
2019-06-01,BTCUSD,8554.06,8618,8452.21,8558.95,7486.03,63938535.91
2019-05-31,BTCUSD,8279.69,8580,8110,8554.06,16542.69,138188211.57
2019-05-30,BTCUSD,8662.44,9090,7972,8279.69,28840.7,246869165.36
2019-05-29,BTCUSD,8715.36,8760.43,8426.09,8662.44,12054.15,104110874.31
2019-05-28,BTCUSD,8772.29,8822.46,8545,8715.36,11661.23,101649625.62
2019-05-27,BTCUSD,8731.72,8947.88,8611.44,8772.29,17787.67,156467270.75
2019-05-26,BTCUSD,8063.81,8793.97,7881.7,8731.72,17405.83,147251813.53
2019-05-25,BTCUSD,8001.7,8149,7941.25,8063.81,5279.69,42493577.42
2019-05-24,BTCUSD,7881.98,8175,7794.73,8001.7,14607.52,116960242.04
2019-05-23,BTCUSD,7626.48,7984.9,7467.1,7881.98,14730.03,113748677.74
2019-05-22,BTCUSD,7951.7,8044.32,7506.12,7626.48,16456.9,128813352.15
2019-05-21,BTCUSD,7999.54,8112.99,7805.34,7951.7,14150.34,112626107.08
2019-05-20,BTCUSD,8200,8200,7570.31,7999.54,24116.51,190785429.44
2019-05-19,BTCUSD,7262.4,8315,7252.58,8200,23922.84,189749462.35
2019-05-18,BTCUSD,7363.69,7491.22,7204.42,7262.4,10869.93,79710779.2
2019-05-17,BTCUSD,7878.96,7940.75,6600,7363.69,42364.34,306073578.94
2019-05-16,BTCUSD,8203.32,8388,7660.74,7878.96,28652.1,229351414.47
2019-05-15,BTCUSD,7990.92,8308.16,7831.77,8203.32,24557.41,198263273.83
2019-05-14,BTCUSD,7824.93,8350,7621.27,7990.92,38350.83,305918292.1
2019-05-13,BTCUSD,6979.76,8190.55,6864.93,7824.93,44448.41,342496832.3
2019-05-12,BTCUSD,7219.95,7581.82,6755,6979.76,38995.21,278625499.63
2019-05-11,BTCUSD,6343.14,7464.13,6342.98,7219.95,36708.21,253954328.76
2019-05-10,BTCUSD,6153.09,6430,6108.81,6343.14,17453.65,109858987.7
2019-05-09,BTCUSD,5948.41,6171.1,5934.49,6153.09,15187.54,91832172.06
2019-05-08,BTCUSD,5748.45,5990,5656.26,5948.41,12046.11,70520738.79
2019-05-07,BTCUSD,5687.9,5966.37,5687.9,5907.47,6179.72,36226649.32
2019-05-06,BTCUSD,5715.86,5753.66,5564.93,5687.9,8983.11,50845866.17
2019-05-05,BTCUSD,5770.01,5782.22,5627.35,5715.86,5700.46,32582243.47
2019-05-04,BTCUSD,5657.4,5846.88,5512,5770.01,10457.85,59574202.73
2019-05-03,BTCUSD,5390.01,5796.93,5363,5657.4,19076.57,107785261.46
2019-05-02,BTCUSD,5321.15,5422.99,5306.09,5390.01,7181.06,38594320.08
